Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Pan troglodytes	Chimpanzee	 	59.4	f	[104]
 	Pan troglodytes	Chimpanzee (+)	 	44.5	x	[142]
 	Pan troglodytes	Chimpanzee	60.0	53.0	x	[143]
 	Pan troglodytes	Common chimpanzee	45.0	 	x	[192]
 	Pongo pygmaeus	Orangutan	59.0	 	x	[21]
 	Pongo pygmaeus	Orangutan	35.0	50.0	x	[100] [192]
 	Pongo pygmaeus	Orangutan	 	59.0	x	[229]
 	Pongo pygmaeus	Orangutan	 	58.8	m	[104]
 	Pongo pygmaeus	Orangutan	 	57.3	f	[104]
Tarsiidae	Tarsius bancanus	Western tarsier	8.0	 	x	[100] [192]
 	Tarsius spectrum	Spectral tarsier	 	12.0	x	[110]
 	Tarsius syrichta	Philippine tarsier (+)	 	13.0	x	[100]
 	Tarsius syrichta	Tarsier	 	13.4	x	[143]
 	Tarsius syrichta	Philippine tarsier	 	12.0	x	[192]
 	Tarsius syrichta	Philippine tarsier	 	13.0	x	[100]
 	Tarsius syrichta	Philippine tarsier	 	15.0	m	[104]
 	Tarsius syrichta	Philippine tarsier	 	13.5	m	[104]
Elephantidae	Elephas maximus	Asiatic elephant	78.0	 	x	[21]
 	Elephas maximus	Asian elephant	40.0	69.0	x	[100]
 	Elephas maximus	Asian elephant	60.0	80.0	x	[192]
 	Elephas maximus	Asiatic elephant	 	77.0	x	[288]
 	Elephas maximus	Asiatic elephant	70.0	 	x	[160] [173] [220] [296]
 	Loxodonta africana	African elephant	70.0	 	x	[21] [100]
 	Loxodonta africana	African elephant	60.0	80.0	x	[192]
Abrocomidae	Abrocoma bennetti	Chinchilla-rat	 	2.3	x	[143]
Anomaluridae	Pedetes capensis	Springhare	 	13.0	x	[100]
 	Pedetes capensis	Springhare	 	14.5	x	[192]
Aplodontidae	Aplodontia rufa	Mountain beaver	6.0	 	x	[100]
 	Aplodontia rufa	Mountain beaver	 	6.0	x	[190]
 	Aplodontia rufa	Mountain beaver	10.0	 	x	[192]
Bathyergidae	Cryptomys spp.	Common mole-rat	 	2.4	x	[143]
 	Georychus capensis	Cape mole-rat	3.0	 	x	[308]
 	Heliophobius argenteocinereus	Silvery mole-rat (+)	 	3.1	f	[136]
 	Heterocephalus glaber	Naked mole-rat	 	5.0	x	[100] [135] [137] [138] [139]
 	Heterocephalus glaber	Naked mole-rat	 	10.0	x	[192]
Capromyidae	Capromys pilorides	Cuban hutia	 	11.3	x	[143]
 	Geocapromys (= Capromys) brownii	Brown’s hutia	 	8.3	x	[143]
 	Geocapromys (= Capromys) ingrahami	Bahamian hutia (+)	6.0	 	x	[100]
 	Plagiodontia aedium	Hispaniolan hutia	 	9.9	x	[143]
Castoridae	Castor spp.	Beaver	24.0	 	x	[29]
 	Castor canadensis	American beaver (+)	15.0	 	x	[21]
 	Castor fiber	European beaver	17.0	25.0	x	[100]
Caviidae	Cavia apera f. porcellus	Domestic guinea pig	5.0	10.0	x	[100]
 	Cavia porcellus	Guinea pig	14.8	 	x	[21]
 	Cavia spp.	Guinea pig	 	8.0	x	[229]
 	Dolichotis patagonum	Patagonian cavy	 	14.0	x	[101]
 	Galea musteloides	Yellow-toothed cavy	1.3	1.8	x	[168] [265] [329]
 	Galea spixii	Yellow-toothed cavy	 	4.6	x	[143]
 	Kerodon rupestris	Rock cavy	 	11.0	x	[262]
Chinchillidae	Chinchilla chinchilla boliviana	Short-tailed chinchilla	10.0	 	x	[100]
 	Chinchilla lanigera	Chinchilla	11.3	 	x	[21]
 	Chinchilla lanigera	Long-tailed chinchilla	10.0	 	x	[100]
 	Chinchilla spp.	Chinchilla (+)	10.0	20.0	x	[229] [329]
 	Lagidium peruanum	Mountain viscacha	 	19.5	x	[143]
 	Lagostomus maximus	Plains viscacha	 	9.4	x	[229]
 	Lagostomus maximus	Viscacha (+)	 	9.0	x	[100]
Ctenodactylidae	Ctenodactylus spp.	Gundi	 	5.0	x	[100]
 	Ctenodactylus vali	Gundi	 	5.0	f	[89]
 	Pectinator spekei	Speke’s pectinator	 	4.0	f	[89]
 	Pectinator spekei	Speke’s gundi	 	10.0	x	[192]
Ctenomyidae	Ctenomys talarum	Tuco-tuco	3.0	 	x	[329]
 	Ctenomys spp.	Tuco-tuco	3.0	 	x	[100]
Dasyproctidae	Agouti paca	Paca (+)	 	16.0	x	[43] [229]
 	Dasyprocta leporina	Agouti	 	17.8	x	[143]
 	Dasyprocta punctata	Central American agouti (+)	10.0	 	x	[100]
 	Myoprocta spp.	Acouchi	 	10.2	x	[143]
 	Myoprocta acouchy	Acouchi (+)	 	10.0	x	[100]
Dinomyidae	Dinomys branickii	Pacarana	 	9.4	x	[143]
 	Dinomys branickii	Pacarana (+)	 	9.0	x	[100]
Dipodidae	Allactaga euphratica	Four- and five-toed jerboa	 	4.2	x	[143]
Echimyidae	Kannabateomys amblyonyx	Rato de Taquara	 	1.6	x	[143]
 	Makalata armata	 	 	3.1	x	[143]
 	Proechimys guyannensis	Spiny rat	1.7	3.5	x	[66]
 	Proechimys semispinosus	Spiny rat	2.0	4.8	x	[143]
Erethizontidae	Coendou prehensilis	Prehensile-tailed porcupine	 	17.3	x	[143]
 	Coendou prehensilis	Prehensile-tailed porcupine (+)	17.0	9.0	x	[100]
 	Erethizon dorsatum	N. American porcupine	18.0	 	x	[56]
 	Erethizon dorsatum	N. American porcupine	17.0	 	x	[100] [192]
Geomyidae	Cratogeomys castanops	Mexican pocket gopher	2.6	 	m	[298]
 	Cratogeomys castanops	Mexican pocket gopher	4.7	 	f	[298]
 	Geomys bursarius	Eastern pocket gopher	 	7.2	x	[143]
 	Geomys spp.	Eastern pocket gopher	4.0	7.0	x	[100]
 	Pappogeomys spp.	Yellow and cinnamon pocket gopher	1.1	 	f	[100]
 	Pappogeomys spp.	Yellow and cinnamon pocket gopher	0.6	 	m	[100]
 	Thomomys spp	Western pocket gopher	5.0	 	x	[100]
 	Thomomys spp.	Western pocket gopher	4.0	 	x	[229]
 	Thomomys talpoides	Pocket gopher	1.6	 	x	[21]
Gliridae	Dryomys nitedula	Forest dormouse (+)	4.0	 	x	[100]
 	Eliomys quercinus	Garden dormouse	 	5.5	x	[143]
 	Glis glis	Edible dormouse	9.0	 	x	[100]
 	Glis glis	Fat dormouse	 	8.7	x	[229]
 	Graphiurus murinus	African dormouse	 	5.8	x	[143]
 	Muscardinus avellanarius	Common dormouse	4.0	6.0	x	[45] [100]
Heteromyidae	Chaetodipus fallax	Coarse-haired pocket mouse	 	8.3	x	[143]
 	Dipodomys ordii	Kangaroo rat	 	9.8	x	[299]
 	Dipodomys spp.	Kangaroo rat	9.8	 	x	[100]
 	Liomys adspersus	Spiny pocket mouse (+)	1.5	 	x	[74] [75]
 	Liomys spp.	Spiny pocket mouse	1.5	 	x	[100]
 	Microdipodops megacephalus	Kangaroo mouse	 	5.4	x	[60]
 	Perognathus formosus	Hibernating pocket mouse	5.0	 	x	[192]
 	Perognathus longimembris	Silky pocket mouse	 	8.3	x	[113]
 	Perognathus spp.	Pocket mouse	8.0	 	x	[100]
Hydrochaeridae	Hydrochaerus hydrochaeris	Capybara	 	12.0	x	[101]
 	Hydrochaerus hydrochaeris	Capybara	10.0	 	x	[192]
 	Hydrochaerus hydrochaeris	Capybara	12.0	 	x	[21]
 	Hydrochaerus hydrochaeris	Capybara	10.0	 	x	[100]
Hystricidae	Atherurus africanus	Brush-tailed porcupine	 	22.9	x	[100] [299]
 	Hystrix brachyura	Old World porcupine	 	27.3	x	[143]
 	Hystrix pumila	Old World porcupine	 	9.5	x	[143]
 	Hystrix spp.	Porcupine (+)	20.0	15.0	x	[100]
 	Thecurus (= Hystrix) pumilis	Indonesian porcupine	 	9.5	x	[100]
 	Trichys fasciculata	Long-tailed porcupine	 	10.1	x	[100] [299]
Muridae	Acomys cahirinus	Spiny mouse	 	5.0	x	[101] [106] [158] [267]
 	Acomys spp.	Spiny mouse	 	4.0	x	[100]
 	Apodemus agrarius	Striped field mouse	 	4.0	x	[100]
 	Apodemus flavicollis	Yellow-necked mouse	 	4.0	x	[100]
 	Apodemus sylvaticus	Wood mouse	 	4.0	x	[100]
 	Apodemus sylvaticus	Old World wood and field mouse	1.0	4.4	x	[143]
 	Arvicanthis spp.	Unstriped grass mouse	 	7.0	x	[100]
 	Arvicanthis spp.	Unstriped grass mouse	 	6.7	x	[143]
 	Arvicola richardsoni	Richardson’s water vole	1.5	 	x	[100]
 	Arvicola sapidus	Southwestern water vole	2.5	3.5	x	[100]
 	Arvicola terrestris	Water vole	2.5	3.5	x	[100]
 	Arvicola terrestris	Water vole	 	5.0	x	[45]
 	Baiomys taylori	Pygmy mouse	 	3.0	x	[143]
 	Baiomys taylori	Northern pygmy mouse	 	3.0	x	[100]
 	Berylmys bowersi	White-toothed rat	 	2.9	x	[207]
 	Cannomys badius	Lesser bamboo rat	 	3.3	x	[143]
 	Cannomys spp.	Bamboo rat	 	4.0	x	[100]
 	Chiropodomys spp.	Pencil-tailed tree mouse	 	4.0	x	[100]
 	Chiropodomys spp.	Pencil-tailed tree mouse	2.0	3.6	x	[207] [222]
 	Clethrionomys glareolus	Red-backed mouse	 	4.9	x	[143]
 	Colomys goslingi	African water rat	 	3.0	x	[100]
 	Cricetomys spp.	African giant pounched rat	 	7.8	x	[143]
 	Cricetomys spp.	African giant pouched rat (+)	 	7.0	x	[100]
 	Cricetus cricetus	Common hamster	4.0	 	x	[100]
 	Cricetus cricetus	Common hamster	 	2.0	x	[229]
 	Delanymys brooksi	Delany’s swamp mouse	2.0	 	x	[100]
 	Dendromus spp.	African climbing mouse	 	4.0	x	[100]
 	Dendromus mesomelas	African climbing mouse	 	3.3	x	[143]
 	Dicrostonyx torquatus	Arctic lemming	 	3.8	x	[100]
 	Dicrostonyx spp.	Collared lemming	 	3.3	x	[10]
 	Eligmodontia typus	Highland desert mouse	 	0.8	x	[238]
 	Eothenomys smithi	Pere David’s vole	 	3.5	x	[6]
 	Gerbillus pyramidum	Greater Egyptian gerbil (+)	8.0	 	x	[21]
 	Gerbillus pyramidum	Greater Egyptian gerbil	 	8.2	x	[143]
 	Grammomys dolichurus	 	 	4.4	x	[143]
 	Hybomys spp.	Back-striped mouse	 	4.0	x	[100]
 	Lemmus lemmus	Norway lemming	 	2.0	x	[100]
 	Lemmus spp.	True lemming	 	2.0	x	[10] [101] [111]
 	Lemniscomys striatus	Striped grass mouse	 	2.5	f	[229]
 	Lenothrix canus	Gray tree rat	 	3.8	x	[207]
 	Leopoldamys spp.	Long-tailed giant rat	 	2.0	x	[100] [207]
 	Lophiomys imhausi	Crested rat	 	7.5	x	[143]
 	Lophiomys imhausi	Crested rat	 	1.5	x	[100]
 	Lophuromys spp.	Brush-furred mouse	 	2.0	x	[159]
 	Mastomys spp.	Multimammate mouse	 	4.0	x	[100]
 	Meriones crassus	Jird	 	5.6	x	[143]
 	Meriones unguiculatus	Mongolian gerbil (+)	 	2.0	x	[100]
 	Mesembriomys gouldii	Tree rat	 	3.9	x	[143]
 	Mesocricetus auratus	Golden hamster	10.0	 	x	[21]
 	Mesocricetus auratus	Golden hamster	3.0	 	x	[100]
 	Mesocricetus auratus	Golden hamster	 	3.0	x	[229]
 	Micromys minutus	Harvest mouse	 	4.0	x	[100]
 	Micromys minutus	Old World harvest mouse	1.5	5.0	x	[229]
 	Microtus agrestis	Field vole	1.6	3.3	x	[100]
 	Microtus arvalis	Common vole	 	3.0	x	[100]
 	Microtus guentheri	Vole	 	3.9	x	[143]
 	Microtus oeconomus	Root vole	1.4	1.8	x	[100]
 	Microtus pinetorum	Pine vole	 	2.8	x	[100]
 	Millardia gleadowi	Asian soft-furred rat	 	4.0	x	[229]
 	Millardia spp.	Asian soft-furred rat	 	4.0	x	[100]
 	Mus minutoides	Mouse	 	3.1	x	[17] [28] [191]
 	Mus musculus	House mouse	6.0	 	x	[21]
 	Mus musculus	Mouse	 	6.0	x	[143]
 	Myopus schisticolor	Wood lemming	1.0	 	x	[100]
 	Mystromys albicaudatus	White-tailed rat	 	6.0	x	[50]
 	Mystromys albicaudatus	White-tailed rat	 	6.0	x	[100]
 	Nannospalax spp.	Mediterranean blind mole-rat	4.5	 	x	[274]
 	Neotoma albigula	Wood rat	 	7.7	x	[143]
 	Neotoma floridana	Eastern woodrat	3.0	 	x	[100]
 	Notomys alexis	Australian hopping mouse	 	5.2	x	[143]
 	Notomys spp.	Australian hopping mouse	 	6.0	x	[100]
 	Nyctomys sumichrasti	Vesper rat	 	5.2	x	[143]
 	Ochrotomys nuttalli	Golden mouse	 	8.4	f	[229]
 	Ondatra zibethicus	Muskrat	3.0	10.0	x	[229]
 	Ondatra zibethicus	Muskrat	4.0	 	x	[100]
 	Onychomys leucogaster	Northern grasshopper mouse (+)	 	5.0	x	[100]
 	Onychomys torridus	Grasshopper mouse	 	4.6	x	[143]
 	Oxymycterus rutilans	Burrowing mouse	 	2.6	x	[143]
 	Pachyuromys duprasi	Fat-tailed gerbil	 	4.4	x	[100]
 	Pachyuromys duprasi	Fat-tailed gerbil	 	4.4	x	[143]
 	Peromyscus maniculatus	Deer mouse	 	8.3	x	[10]
 	Phloeomys spp.	Slender-tailed cloud rat	 	13.6	x	[276]
 	Phodopus sungorus	Striped hairy-footed hamster	 	3.2	x	[143]
 	Phodopus sungorus	Striped hairy-footed hamster (+)	 	3.0	x	[100]
 	Pithecheir spp.	Monkey-footed rat	 	3.0	x	[183]
 	Platacanthomys lasiurus	Spiny dormouse	 	1.7	f	[250]
 	Pogonomys macrourus	Prehensile-tailed rat	 	2.4	x	[143]
 	Praomys tullbergi	African soft-furred rat	 	5.2	x	[143]
 	Pseudomys spp.	Australian native mouse	 	6.0	x	[100]
 	Pseudomys australis	Australian native mouse	 	5.6	x	[143]
 	Rattus rattus	Rat	 	4.2	x	[207]
 	Reithrodon physodes	Coney rat	 	5.5	x	[143]
 	Reithrodontomys spp.	American harvest mouse	1.5	 	x	[73]
 	Rhabdomys pumilio	Four-striped grass mouse	 	2.9	x	[143]
 	Rhizomys spp.	Bamboo rat	 	4.0	x	[176]
 	Rhizomys spp.	Bamboo rat	 	4.0	x	[100]
 	Rhombomys opimus	Great gerbil	4.0	 	f	[225] [263]
 	Rhombomys opimus	Great gerbil	3.0	 	m	[225] [263]
 	Saccostomus campestris	African pouched rat	 	2.8	x	[143]
 	Saccostomus spp.	African pouched rat	 	3.0	x	[100]
 	Sekeetamys calurus	Bushy-tailed jird	 	5.4	x	[100]
 	Sekeetamys calurus	Bushy-tailed jird	 	5.4	x	[143]
 	Sigmodon hispidus	Cotton rat	 	5.2	x	[143]
 	Sundamys muelleri	Giant sunda rat (+)	0.5	2.0	x	[207]
 	Synaptomys cooperi	Southern bog lemming (+)	 	2.5	x	[100]
 	Synaptomys spp.	Bog lemming	 	2.4	f	[184]
 	Tachyoryctes spp.	African mole-rat	 	3.1	x	[249]
 	Tatera indica	Indian gerbil	 	7.0	x	[100]
 	Tatera indica	Large naked-soled gerbil	 	7.0	x	[143]
 	Thallomys paedulcus	Acacia rat	 	3.5	x	[143]
 	Tylomys nudicaudus	Climbing rat	 	5.4	x	[143]
Myocastoridae	Myocastor coypus	Nutria	 	10.0	x	[186]
 	Myocastor coypus	Nutria (+)	6.0	 	x	[21]
 	Myocastor coypus	Nutria	 	6.0	x	[100]
Octodontidae	Octodon degus	Degus	 	7.1	x	[143]
 	Octodontomys gliroides	Bori (+)	 	7.0	x	[100]
 	Octodontomys gliroides	Chozchoz	 	7.3	x	[143]
 	Spalacopus cyanus	Coruro	 	5.8	x	[143]
 	Spalacopus cyanus	Coruro	 	6.0	x	[100]
Pedetidae	Pedetes capensis	Springhare	 	13.8	x	[143]
Sciuridae	Ammospermophilus leucurus	Antelope ground squirrel	 	5.8	x	[143]
 	Atlantoxerus getulus	Barbary ground squirrel (+)	 	9.0	x	[100]
 	Atlantoxerus getulus	Barbary ground squirrel	 	5.6	x	[143]
 	Callosciurus erythraeus	Beautiful squirrel	 	16.1	x	[143]
 	Callosciurus notatus	Plantain squirrel	 	9.6	x	[100]
 	Cynomys ludovicianus	Prairie dog	 	8.5	x	[35] [100]
 	Dremomys lokriah	Red-cheeked squirrel	 	7.1	x	[143]
 	Eutamias (= Tamias) ruficaudus	Western American chipmunk	8.0	 	x	[11]
 	Funisciurus congicus	African striped squirrel	 	9.5	x	[143]
 	Glaucomys sabrinus	Northern flying squirrel	 	13.0	x	[100]
 	Glaucomys volans	Southern flying squirrel (+)	 	12.0	x	[100] [143]
 	Heliosciurus rufobrachium	Sun squirrel	 	8.9	x	[143]
 	Marmota bobak	Bobak’s marmot	15.0	 	x	[100]
 	Marmota marmota	Alpine marmot	 	18.0	x	[100]
 	Marmota marmota	Alpine marmot	15.0	 	x	[229]
 	Menetes berdmorei	Berdmore’s palm squirrel	 	4.3	x	[143]
 	Petaurista petaurista	Giant flying squirrel	 	16.0	x	[100]
 	Protoxerus stangeri	Oil palm squirrel	 	5.1	x	[143]
 	Pteromys volans	Siberian flying squirrel	3.8	 	x	[21]
 	Sciurus carolinensis	Eastern gray squirrel	23.5	 	x	[21]
 	Sciurus carolinensis	Eastern gray squirrel (+)	23.6	12.0	x	[100]
 	Sciurus carolinensis	Eastern gray squirrel	12.5	23.5	x	[143]
 	Sciurus vulgaris	Eurasian red squirrel	12.0	 	x	[100]
 	Spermophilus spp.	Ground squirrel (+)	11.0	 	f	[286]
 	Tamias striatus	Eastern American chipmunk	3.0	8.0	x	[92] [100]
 	Tamiasciurus spp.	Red squirrel	7.0	10.0	x	[10] [100] [272]
 	Trogopterus xanthipes	Complex-toothed flying squirrel	 	12.0	x	[325]
 	Xerus erythropus	Western ground squirrel	 	6.0	x	[100]
 	Xerus inauris	African ground squirrel (+)	 	6.0	x	[229]
Spalacidae	Spalax spp.	Blind mole-rat (+)	 	4.0	x	[100]
Thryonomyidae	Thryonomys swinderianus	Cane rat	4.3	 	x	[21]
 	Thryonomys swinderianus	Cane rat	 	4.3	x	[143]
Zapodidae	Napaeozapus insignis	Woodland jumping mouse	4.0	 	x	[229]
 	Sicista betulina	Northern birch mouse	3.5	 	x	[100]
 	Sicista spp.	Birch mouse	3.3	 	x	[130]
 	Zapus hudsonius	Jumping mouse	 	5.0	x	[143]
Tupaiidae	Ptilocercus lowii	Pen-tailed tree shrew	 	2.7	x	[176]
 	Tupaia glis	Tree shrew	 	12.4	x	[143]
 	Urogale everetti	Philippine tree shrew	 	11.5	x	[143]
Dugongidae	Dugong dugon	Dugong (+)	55.0	 	x	[192]
 	Dugong dugon	Dugong	70.0	10.0	x	[128] [227]
 	Dugong dugon	Dugong	55.0	 	x	[100]
Trichechidae	Trichechus inunguis	Amazonian manatee	 	12.5	x	[127]
 	Trichechus inunguis	Amazonian manatee (+)	30.0	 	x	[192]
 	Trichechus manatus	Caribbean manatee	30.0	 	x	[21]
 	Trichechus manatus	Caribbean manatee (+)	 	30.0	x	[143]
 	Trichechus manatus	Caribbean manatee	 	28.0	x	[192]
Orycteropodidae	Orycteropus afer	Aardvark	23.0	 	x	[21]
 	Orycteropus afer	Aardvark	 	23.0	x	[100]
 	Orycteropus afer	Aardvark	 	10.0	x	[192]
 	Orycteropus afer	Aardvark	 	24.0	m	[289]
 	Orycteropus afer	Aardvark	 	18.0	f	[289]
Bradypodidae	Bradypus torquatus	Maned sloth	12.0	 	x	[100]
Dasypodidae	Calyptophraetus (= Chlamyphorus) retuses	Burmeister’s armadillo	12.0	 	x	[21]
 	Chaetophractus villosus	Larger hairy armadillo	 	19.0	x	[100]
 	Chaetophractus villosus	Hairy armadillo (+)	 	20.0	x	[229]
 	Dasypus novemcinctus	Common long-nosed armadillo	15.0	 	x	[100] [334]
 	Euphractus sexcinctus	Six-banded armadillo	 	18.8	x	[143]
 	Priodontes maximus	Giant armadillo (+)	 	4.0	x	[100]
 	Priodontes maximus	Giant armadillo	15.0	 	x	[208]
 	Tolypeutes spp.	Three-banded armadillo	15.0	 	x	[208]
 	Zaedyus pichiy	Pichi	 	9.0	x	[143]
Megalonychidae	Choloepus didactylus	Linne’s two-toed sloth (+)	 	27.8	x	[143]
 	Choloepus hoffmanni	Hoffmann’s two-toed sloth (+)	 	32.1	x	[143]
Myrmecophagidae	Cyclopes didactylus	Silky anteater	 	2.3	x	[208]
 	Myrmecophaga tridactyla	Giant anteater	 	26.0	x	[100] [192]
 	Myrmecophaga tridactyla	Giant anteater	 	25.8	x	[143]
 	Tamandua tetradactyla	Southern tamandua (+)	 	9.0	x	[100]
 	Tamandua mexicana	Northern tamandua	 	9.5	x	[192]
 	Tamandua spp.	Tamandua	 	9.5	x	[143]
