Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Alopex lagopus	Arctic fox	 	15.0	x	[143]
 	Atelocynus microtis	Small-eared dog	 	11.0	x	[143]
 	Canis adustus	Side-striped jackal	 	10.0	x	[266]
 	Canis aureus	Golden jackal	 	14.0	x	[100]
 	Canis aureus	Golden jackal	 	16.0	x	[159] [176] [216] [217] [228] [268] [321]
 	Canis dingo	Dingo	 	14.0	x	[192]
 	Canis familiaris dingo	Dingo	14.8	 	x	[101]
 	Canis familiaris	Domestic dog	29.5	 	x	[21]
 	Canis familiaris	Domestic dog	 	20.0	x	[8] [32] [100]
 	Canis latrans	Coyote	14.5	21.8	x	[13] [90] [143] [153]
 	Canis latrans	Coyote	14.5	18.0	x	[192]
 	Canis latrans	Coyote (+)	21.0	 	x	[21]
 	Canis latrans	Coyote (+)	 	15.0	x	[100]
 	Canis lupus	Gray wolf	10.0	20.0	x	[100]
 	Canis lupus	Gray wolf	16.0	20.0	x	[192]
 	Canis lupus	Gray wolf	13.7	16.0	f	[201] [202] [203] [204] [205] [206] [317] [318]
 	Canis lupus f. dingo	Dingo (+)	 	14.0	x	[100]
 	Canis mesomelas	Black-backed jackal	 	14.0	x	[12] [22] [159] [215] [216]
 	Canis rufus	Red wolf	 	14.0	x	[37]
 	Canis rufus	Red wolf	16.0	20.0	x	[192]
 	Cerdocyon thous	Crab-eating fox	 	11.5	x	[294]
 	Chrysocyon brachyurus	Maned wolf	 	15.0	x	[100] [192]
 	Chrysocyon brachyurus	Maned wolf	 	13.0	x	[143]
 	Cuon alpinus	Dhole	 	16.0	x	[229]
 	Fennecus zerda	Fennec fox	 	12.0	x	[100]
 	Fennecus zerda	Fennec fox	 	11.6	x	[143]
 	Lycaon pictus	African hunting dog	11.0	 	x	[77] [159] [193] [275] [319] [321]
 	Lycaon pictus	African hunting dog	10.0	 	x	[100] [192]
 	Nyctereutes procyonoides	Raccoon dog	11.0	7.0	x	[100]
 	Nyctereutes procyonoides	Raccoon dog	 	10.7	x	[143]
 	Otocyon megalotis	Bat-eared fox	 	13.8	x	[143]
 	Otocyon megalotis	Bat-eared fox (+)	 	6.0	x	[100]
 	Pseudalopex gymnocercus	S. American fox	 	13.7	x	[143]
 	Speothos venaticus	Bush dog	 	10.3	x	[143]
 	Speothos venaticus	Bush dog (+)	 	10.0	x	[100]
 	Urocyon cinereoargenteus	Gray fox (+)	 	13.0	x	[100]
 	Urocyon spp.	Gray fox	 	13.7	x	[143]
 	Vulpes bengalensis	Indian fox (+)	10.0	 	x	[100]
 	Vulpes cana	Blanford’s fox	10.0	 	x	[100]
 	Vulpes chama	Cape fox	10.0	 	x	[100]
 	Vulpes macrotis	Kit fox (+)	 	20.0	x	[143]
 	Vulpes pallida	Pale fox	10.0	 	x	[100]
 	Vulpes velox	Swift fox	 	12.8	x	[59] [156]
 	Vulpes velox	Swift fox	 	12.0	x	[100]
 	Vulpes vulpes	Red fox	7.0	15.0	x	[1]
 	Vulpes vulpes	Red fox	12.0	 	x	[1]
Felidae	Acinonyx jubatus	Cheetah	 	19.0	x	[57] [101] [159]
 	Acinonyx jubatus	Cheetah	15.0	 	x	[100]
 	Acinonyx jubatus	Cheetah	12.0	17.0	x	[192]
 	Felis caracal	Caracal	 	17.0	x	[159]
 	Felis catus	Domestic cat	34.0	 	x	[21]
 	Felis (= Profelis = Puma) concolor	Cougar (+)	 	20.0	x	[47]
 	Felis (= Lynx) lynx	Lynx	 	26.8	x	[257]
 	Felis nigripes	Black-footed cat	12.0	 	x	[100]
 	Felis (= Leopardus) pardalis	Ocelot	 	20.3	x	[143]
 	Felis (= Lynx) rufus	Bobcat	32.3	 	x	[21]
 	Felis (= Lynx) rufus	Bobcat	 	32.3	x	[143]
 	Felis (= Leptailurus) serval	Serval	 	19.8	f	[323]
 	Felis silvestris	Wild cat	18.0	 	x	[100]
 	Felis silvestris	Wild cat	15.0	 	x	[192]
 	Felis silvestris	Wild cat	 	15.0	x	[159]
 	Felis (= Profelis) temmincki	Asian golden cat	 	18.0	x	[176]
 	Felis (= Leopardus) wiedii	Margay (+)	 	13.0	x	[101]
 	Leopardus tigrinus	Little spotted cat	 	20.0	x	[100]
 	Leopardus wiedii	Margay (+)	 	20.0	x	[100]
 	Leptailurus serval	Serval	23.0	 	x	[100]
 	Lynx (= Felis) rufus	Bobcat	15.0	 	x	[100]
 	Neofelis nebulosa	Clouded leopard	 	17.0	x	[100] [101] [192]
 	Neofelis (= Panthera) tigris	Tiger	18.0	25.0	x	[100]
 	Panthera leo	African lion	 	30.0	x	[101] [102] [159] [275]
 	Panthera leo	Lion	29.0	 	x	[21]
 	Panthera leo	Lion	15.0	25.0	x	[100]
 	Panthera leo	Lion	15.0	24.0	x	[192]
 	Panthera onca	Jaguar	 	22.0	x	[100] [101] [102] [218]
 	Panthera onca	Jaguar	 	20.0	x	[192]
 	Panthera pardus	Leopard	12.0	20.0	x	[192]
 	Panthera pardus	Leopard (+)	 	23.0	x	[101] [102] [159]
 	Panthera tigris	Tiger	26.3	 	x	[21]
 	Panthera tigris	Tiger	15.0	20.0	x	[192]
 	Panthera tigris	Tiger	26.0	26.0	x	[197]
 	Panthera uncia	Snow leopard	 	15.0	x	[192]
 	Panthera uncia	Snow leopard	 	19.0	x	[133]
 	Prionailurus bengalensis	Leopard cat	15.0	 	x	[100]
 	Profelis (= Caracal) caracal	Caracal (+)	12.0	 	x	[100]
 	Profelis (= Puma) concolor	Mountain lion	18.0	 	x	[100]
 	Uncia (= Panthera) uncia	Snow leopard	 	18.0	x	[100]
Hyaenidae	Crocuta crocuta	Spotted hyena	 	41.1	x	[143]
 	Crocuta crocuta	Spotted hyena	25.0	40.0	x	[192]
 	Hyaena brunnea	Brown hyena	12.0	 	x	[211]
 	Hyaena brunnea	Brown hyena	 	13.0	x	[192]
 	Hyaena hyaena	Striped hyena	 	24.0	x	[259] [260]
 	Hyaena hyaena	Striped hyena	 	24.0	x	[192]
 	Proteles cristatus	Aardwolf	 	14.3	x	[143]
 	Proteles cristatus	Aardwolf	 	13.0	x	[192]
Mustelidae	Aonyx capensis	Cape clawless otter	 	11.0	x	[100] [143]
 	Arctonyx collaris	Hog badger	 	13.9	x	[100] [143]
 	Conepatus chinga	Hog-nosed skunk	 	6.6	x	[143]
 	Conepatus leuconotus	Hog-nosed skunk	 	7.0	x	[100]
 	Eira barbara	Tayra	 	18.0	x	[100] [101]
 	Enhydra lutris	Sea otter	23.0	 	f	[271]
 	Enhydra lutris	Sea otter	 	19.0	m	[271]
 	Enhydra lutris	Sea otter	30.0	 	x	[100]
 	Galictis vittata	Grison	 	10.5	x	[143]
 	Gulo gulo	Wolverine	 	17.3	x	[143]
 	Gulo gulo	Wolverine	 	18.0	x	[100]
 	Ictonyx striatus	Striped polecat, zorilla	 	13.3	x	[100] [143]
 	Lutra canadensis	Canadian otter	21.0	 	x	[21]
 	Lutra canadensis	River otter	 	23.0	f	[229]
 	Lutra lutra	Eurasian river otter	 	22.0	x	[100]
 	Martes americana	American marten	 	17.0	x	[100] [229]
 	Martes flavigula	Yellow-throated marten	 	14.0	x	[100] [176] [304]
 	Martes foina	Beech marten	 	18.1	x	[143]
 	Martes martes	European pine marten	 	17.0	x	[101] [304]
 	Martes martes	Pine marten	10.0	15.0	x	[100]
 	Martes pennnti	Fisher	10.0	10.0	x	[100] [244] [245]
 	Martes zibellina	Sable	 	15.0	x	[100] [101] [228] [304]
 	Meles meles	Badger	 	16.0	x	[100]
 	Meles meles	Old World badger	 	16.2	x	[143]
 	Mellivora capensis	Honey badger	26.4	 	x	[143]
 	Mellivora capensis	Honey badger	 	26.5	x	[100]
 	Melogale moschata	Ferret badger (+)	 	10.5	x	[143]
 	Mephitis mephitis	Striped skunk	6.0	10.0	x	[100]
 	Mephitis spp.	Striped skunk	 	12.9	x	[143]
 	Mustela lutreola	European mink	10.0	 	x	[100] [228] [304]
 	Mustela nigripes	Black-footed ferret	 	12.0	x	[100] [117]
 	Mustela putorius	European polecat	6.0	14.0	x	[20] [100] [228] [304]
 	Mustela putorius	European polecat (+)	10.0	 	x	[100]
 	Mustela sibirica	Siberian weasel	 	8.8	x	[100] [143]
 	Mustela vison	American mink	10.0	 	x	[10] [35] [100] [132] [191]
 	Poecilictis libyca	N. African striped weasel (+)	 	5.0	x	[100] [268]
 	Poecilogale albinucha	Striped weasel	 	5.2	x	[296]
 	Poecilogale albinucha	Striped weasel	 	5.0	x	[100]
 	Pteronura brasiliensis	Giant otter	 	12.8	x	[143]
 	Pteronura brasiliensis	Giant otter	 	12.0	x	[100]
 	Spilogale putorius	Spotted skunk	 	10.0	x	[100]
 	Spilogale spp.	Spotted skunk	 	9.8	x	[60]
 	Taxidea taxus	American badger	14.0	26.0	x	[143]
 	Taxidea taxus	American badger	26.0	 	x	[21]
 	Taxidea taxus	American badger	14.0	16.0	x	[100]
 	Vormela peregusna	Marbled polecat	 	8.9	x	[100] [143]
Procyonidae	Bassaricyon gabbii	Olingo (+)	24.0	 	x	[100]
 	Bassaricyon spp.	Olingo	 	17.1	x	[143]
 	Bassariscus astutus	Ringtail	16.0	 	x	[100]
 	Bassariscus astutus	Ringtail	 	14.3	x	[143]
 	Bassariscus sumichrasti	Cacomistle	23.0	 	x	[100]
 	Nasua nasua (= narica)	Coatimundi	14.0	 	x	[100]
 	Nasua nasua	Coatimundi	 	17.7	x	[143]
 	Nasua nasua	Coatimundi	14.0	 	x	[100]
 	Potos flavus	Kinkajou	29.0	 	x	[100]
 	Potos flavus	Kinkajou	 	23.6	x	[129] [229]
 	Procyon cancrivorus	Crab-eating raccoon	14.0	 	x	[100]
 	Procyon lotor	Common raccoon (+)	20.0	 	x	[100]
 	Procyon spp.	Common raccoon	16.0	20.6	x	[143]
Ursidae	Melursus (= Ursus) ursinus	Sloth bear	 	30.0	x	[100]
 	Tremarctos ornatus	Spectacled bear	 	25.0	x	[100]
 	Tremarctos ornatus	Spectacled bear	 	36.4	x	[143]
 	Ursus (= Euarchtos) americanus	American black bear	26.0	 	f	[10] [145] [242]
 	Ursus (= Euarctos) americanus	American black bear	32.0	 	x	[192]
